CARRERAS UNIVERSITARIAS,NUMERO DE ESTUDIANTES,    (%) PORCENTAJE 
EDUCACIÓN,1457,6.26%
ADMINISTRACIÓN,1216,5.23%
DERECHO,1142,4.91%
ECONOMÍA,1058,4.55%
CONTABILIDAD,888,3.82%
PSICOLOGÍA,863,3.71%
CIENCIAS DE LA COMUNICACIÓN,832,3.58%
ARQUITECTURA,810,3.48%
RELACIONES INDUSTRIALES,743,3.19%
INGENIERÍA INDUSTRIAL,692,2.97%
INGENIERÍA CIVIL,654,2.81%
INGENIERÍA QUÍMICA,638,2.74%
INGENIERÍA MECÁNICA,605,2.6
INGENIERÍA ELECTRÓNICA,594,2.55%
BIOLOGÍA,558,2.4
TURISMO Y HOTELERÍA,525,2.26%
ARTES,505,2.17%
INGENIERÍA METALÚRGICA,482,2.07%
INGENIERÍA DE SISTEMAS,461,1.98%
INGENIERÍA ELÉCTRICA,458,1.97%
INGENIERÍA DE INDUSTRIAS ALIMENTARIAS,435,1.87%
AGRONOMÍA,423,1.82%
INGENIERÍA DE MATERIALES,423,1.82%
INGENIERÍA EN TELECOMUNICACIONES,421,1.81%
INGENIERÍA DE MINAS,404,1.74%
TRABAJO SOCIAL,396,1.7%
MEDICINA,388,1.67%
INGENIERÍA GEOLÓGICA,378,1.62%
ENFERMERÍA,371,1.59%
CIENCIAS DE LA NUTRICIÓN,364,1.56%
SOCIOLOGÍA,352,1.51%
INGENIERÍA AMBIENTAL,327,1.41%
LITERATURA Y LINGÜÍSTICA,307,1.32%
MARKETING,280,1.2%
GESTIÓN,277,1.19%
QUÍMICA,266,1.14%
BANCA Y SEGUROS,257,1.1%
CIENCIA DE LA COMPUTACIÓN,251,1.08%
MATEMÁTICAS,241,1.04%
FINANZAS,237,1.02%
FÍSICA,226,0.97%
ANTROPOLOGÍA,203,0.87%
INGENIERÍA SANITARIA,201,0.86%
HISTORIA,198,0.85%
INGENIERÍA GEOFÍSICA,172,0.74%
INGENIERÍA PESQUERA,166,0.71%
FILOSOFÍA,120,0.52%
